month,district,pincode,variety,temperature,rainfall,humidity,water_availability,suitability
5,Thiruvananthapuram,695001,Panniyur 1,31.8,194.2,67.8,High,Plant with Care
5,Thiruvananthapuram,695001,Panniyur 1,32.7,114.2,79.0,High,Plant with Care
5,Thiruvananthapuram,695001,Panniyur 1,33.2,61.0,81.5,Medium,Plant with Care
5,Thiruvananthapuram,695001,Panniyur 1,30.8,115.0,83.2,Medium,Plant with Care
5,Thiruvananthapuram,695001,Panniyur 1,32.9,97.8,67.2,Low,Not Recommended
5,Thiruvananthapuram,695014,Panniyur 1,32.3,91.6,67.4,Low,Not Recommended
5,Thiruvananthapuram,695014,Panniyur 1,31.9,61.3,82.5,Low,Not Recommended
5,Thiruvananthapuram,695014,Panniyur 1,33.5,139.6,74.1,Medium,Plant with Care
5,Thiruvananthapuram,695014,Panniyur 1,32.8,124.1,79.1,High,Plant with Care
5,Thiruvananthapuram,695014,Panniyur 1,29.0,151.0,63.7,Medium,Recommended
5,Thiruvananthapuram,695024,Panniyur 1,30.3,29.3,81.2,Low,Not Recommended
5,Thiruvananthapuram,695024,Panniyur 1,31.5,146.6,64.8,High,Plant with Care
5,Thiruvananthapuram,695024,Panniyur 1,31.0,154.1,64.7,Medium,Plant with Care
5,Thiruvananthapuram,695024,Panniyur 1,32.2,134.0,65.5,High,Plant with Care
5,Thiruvananthapuram,695024,Panniyur 1,33.0,146.6,87.0,High,Plant with Care
5,Thiruvananthapuram,695033,Panniyur 1,37.4,128.3,76.1,Medium,Not Recommended
5,Thiruvananthapuram,695033,Panniyur 1,31.8,110.5,77.2,Medium,Plant with Care
5,Thiruvananthapuram,695033,Panniyur 1,26.9,160.8,81.4,High,Recommended
5,Thiruvananthapuram,695033,Panniyur 1,31.7,158.3,72.9,Medium,Plant with Care
5,Thiruvananthapuram,695033,Panniyur 1,30.7,153.6,82.1,Medium,Plant with Care
6,Thiruvananthapuram,695001,Panniyur 1,25.6,427.7,83.7,Medium,Recommended
6,Thiruvananthapuram,695001,Panniyur 1,24.5,366.7,88.0,High,Recommended
6,Thiruvananthapuram,695001,Panniyur 1,22.4,277.2,76.8,Medium,Recommended
6,Thiruvananthapuram,695001,Panniyur 1,26.1,421.6,88.8,High,Plant with Care
6,Thiruvananthapuram,695001,Panniyur 1,28.6,279.5,80.0,High,Recommended
6,Thiruvananthapuram,695014,Panniyur 1,26.3,497.7,84.2,High,Recommended
6,Thiruvananthapuram,695014,Panniyur 1,21.3,175.4,92.7,High,Recommended
6,Thiruvananthapuram,695014,Panniyur 1,26.4,476.6,89.8,Medium,Plant with Care
6,Thiruvananthapuram,695014,Panniyur 1,25.3,297.5,88.6,High,Recommended
6,Thiruvananthapuram,695014,Panniyur 1,26.3,413.8,88.3,High,Plant with Care
6,Thiruvananthapuram,695024,Panniyur 1,25.1,257.0,85.3,High,Recommended
6,Thiruvananthapuram,695024,Panniyur 1,28.4,369.2,88.7,High,Recommended
6,Thiruvananthapuram,695024,Panniyur 1,26.1,246.8,86.5,High,Recommended
6,Thiruvananthapuram,695024,Panniyur 1,24.5,350.5,87.3,High,Recommended
6,Thiruvananthapuram,695024,Panniyur 1,24.1,313.5,80.1,High,Recommended
6,Thiruvananthapuram,695033,Panniyur 1,24.2,416.9,93.8,Medium,Plant with Care
6,Thiruvananthapuram,695033,Panniyur 1,22.9,530.2,92.1,High,Plant with Care
6,Thiruvananthapuram,695033,Panniyur 1,26.4,399.5,84.5,High,Recommended
6,Thiruvananthapuram,695033,Panniyur 1,29.0,95.0,81.8,Medium,Recommended
6,Thiruvananthapuram,695033,Panniyur 1,26.0,372.0,81.7,High,Recommended
7,Thiruvananthapuram,695001,Panniyur 1,26.8,361.3,94.1,High,Recommended
7,Thiruvananthapuram,695001,Panniyur 1,25.8,459.7,89.7,High,Plant with Care
7,Thiruvananthapuram,695001,Panniyur 1,22.6,370.4,93.6,High,Recommended
7,Thiruvananthapuram,695001,Panniyur 1,23.7,381.4,86.8,Medium,Recommended
7,Thiruvananthapuram,695001,Panniyur 1,29.1,450.5,89.6,High,Plant with Care
7,Thiruvananthapuram,695014,Panniyur 1,30.9,281.1,75.9,High,Recommended
7,Thiruvananthapuram,695014,Panniyur 1,28.7,404.2,81.0,Medium,Recommended
7,Thiruvananthapuram,695014,Panniyur 1,25.4,277.7,90.5,High,Recommended
7,Thiruvananthapuram,695014,Panniyur 1,22.6,303.0,85.8,High,Recommended
7,Thiruvananthapuram,695014,Panniyur 1,26.8,336.5,84.4,High,Recommended
7,Thiruvananthapuram,695024,Panniyur 1,26.7,273.0,88.6,High,Recommended
7,Thiruvananthapuram,695024,Panniyur 1,23.6,250.4,82.6,High,Recommended
7,Thiruvananthapuram,695024,Panniyur 1,29.9,394.2,94.6,High,Recommended
7,Thiruvananthapuram,695024,Panniyur 1,24.4,208.5,90.9,High,Recommended
7,Thiruvananthapuram,695024,Panniyur 1,28.3,274.6,90.2,High,Recommended
7,Thiruvananthapuram,695033,Panniyur 1,25.9,463.2,83.2,High,Recommended
7,Thiruvananthapuram,695033,Panniyur 1,23.6,571.5,87.4,Medium,Plant with Care
7,Thiruvananthapuram,695033,Panniyur 1,21.4,339.6,85.3,High,Recommended
7,Thiruvananthapuram,695033,Panniyur 1,29.1,471.5,82.1,Medium,Recommended
7,Thiruvananthapuram,695033,Panniyur 1,26.1,350.3,80.9,High,Recommended
8,Thiruvananthapuram,695001,Panniyur 1,25.0,327.5,91.7,High,Plant with Care
8,Thiruvananthapuram,695001,Panniyur 1,26.8,462.2,89.8,High,Plant with Care
8,Thiruvananthapuram,695001,Panniyur 1,25.5,322.7,80.2,High,Recommended
8,Thiruvananthapuram,695001,Panniyur 1,27.3,275.3,86.7,High,Recommended
8,Thiruvananthapuram,695001,Panniyur 1,25.5,167.0,91.1,High,Plant with Care
8,Thiruvananthapuram,695014,Panniyur 1,22.8,163.7,83.0,High,Recommended
8,Thiruvananthapuram,695014,Panniyur 1,25.7,292.7,89.3,High,Recommended
8,Thiruvananthapuram,695014,Panniyur 1,26.9,323.6,90.6,High,Plant with Care
8,Thiruvananthapuram,695014,Panniyur 1,25.6,346.8,86.9,Medium,Plant with Care
8,Thiruvananthapuram,695014,Panniyur 1,27.0,312.7,88.8,High,Plant with Care
8,Thiruvananthapuram,695024,Panniyur 1,21.8,283.2,75.4,High,Recommended
8,Thiruvananthapuram,695024,Panniyur 1,29.1,295.0,77.5,High,Recommended
8,Thiruvananthapuram,695024,Panniyur 1,22.3,391.1,85.4,High,Plant with Care
8,Thiruvananthapuram,695024,Panniyur 1,26.6,275.3,83.8,High,Recommended
8,Thiruvananthapuram,695024,Panniyur 1,27.1,399.2,80.1,Medium,Recommended
8,Thiruvananthapuram,695033,Panniyur 1,31.5,186.6,85.0,High,Recommended
8,Thiruvananthapuram,695033,Panniyur 1,23.9,523.4,84.5,High,Plant with Care
8,Thiruvananthapuram,695033,Panniyur 1,26.3,331.1,83.2,High,Recommended
8,Thiruvananthapuram,695033,Panniyur 1,25.4,238.8,85.8,High,Recommended
8,Thiruvananthapuram,695033,Panniyur 1,26.1,363.1,91.9,Medium,Plant with Care
9,Thiruvananthapuram,695001,Panniyur 1,23.9,416.0,83.7,High,Plant with Care
9,Thiruvananthapuram,695001,Panniyur 1,26.1,217.2,88.4,Medium,Recommended
9,Thiruvananthapuram,695001,Panniyur 1,26.9,426.3,95.0,Medium,Plant with Care
9,Thiruvananthapuram,695001,Panniyur 1,26.6,330.5,85.6,High,Plant with Care
9,Thiruvananthapuram,695001,Panniyur 1,28.5,359.9,89.3,High,Plant with Care
9,Thiruvananthapuram,695014,Panniyur 1,28.5,266.1,86.0,High,Recommended
9,Thiruvananthapuram,695014,Panniyur 1,29.7,328.4,77.2,High,Recommended
9,Thiruvananthapuram,695014,Panniyur 1,23.4,259.6,84.3,High,Recommended
9,Thiruvananthapuram,695014,Panniyur 1,26.2,224.2,89.2,Medium,Recommended
9,Thiruvananthapuram,695014,Panniyur 1,27.9,382.9,88.9,High,Plant with Care
9,Thiruvananthapuram,695024,Panniyur 1,22.9,438.6,78.8,Medium,Plant with Care
9,Thiruvananthapuram,695024,Panniyur 1,26.1,329.9,80.6,High,Recommended
9,Thiruvananthapuram,695024,Panniyur 1,27.6,491.1,88.2,High,Plant with Care
9,Thiruvananthapuram,695024,Panniyur 1,26.4,455.8,83.4,High,Plant with Care
9,Thiruvananthapuram,695024,Panniyur 1,24.4,364.0,85.7,High,Plant with Care
9,Thiruvananthapuram,695033,Panniyur 1,23.8,216.1,84.7,Medium,Recommended
9,Thiruvananthapuram,695033,Panniyur 1,25.9,446.4,88.7,High,Plant with Care
9,Thiruvananthapuram,695033,Panniyur 1,26.0,357.0,82.3,High,Recommended
9,Thiruvananthapuram,695033,Panniyur 1,25.1,486.3,82.5,High,Plant with Care
9,Thiruvananthapuram,695033,Panniyur 1,23.9,419.5,86.8,Medium,Plant with Care
10,Thiruvananthapuram,695001,Panniyur 1,27.5,236.0,66.4,Medium,Recommended
10,Thiruvananthapuram,695001,Panniyur 1,30.1,186.8,79.9,Medium,Plant with Care
10,Thiruvananthapuram,695001,Panniyur 1,27.9,202.5,86.3,Medium,Plant with Care
10,Thiruvananthapuram,695001,Panniyur 1,25.2,257.7,84.5,High,Recommended
10,Thiruvananthapuram,695001,Panniyur 1,27.1,247.9,77.3,Medium,Recommended
10,Thiruvananthapuram,695014,Panniyur 1,29.0,128.5,91.0,High,Plant with Care
10,Thiruvananthapuram,695014,Panniyur 1,33.5,194.3,80.4,High,Plant with Care
10,Thiruvananthapuram,695014,Panniyur 1,24.6,133.0,73.1,Low,Plant with Care
10,Thiruvananthapuram,695014,Panniyur 1,27.1,135.7,72.1,High,Plant with Care
10,Thiruvananthapuram,695014,Panniyur 1,25.3,168.8,67.9,Medium,Recommended
10,Thiruvananthapuram,695024,Panniyur 1,24.8,170.1,76.6,Low,Plant with Care
10,Thiruvananthapuram,695024,Panniyur 1,26.3,33.7,70.9,Medium,Plant with Care
10,Thiruvananthapuram,695024,Panniyur 1,26.3,212.0,83.4,Medium,Recommended
10,Thiruvananthapuram,695024,Panniyur 1,26.5,277.6,74.4,High,Recommended
10,Thiruvananthapuram,695024,Panniyur 1,28.1,297.2,80.5,High,Recommended
10,Thiruvananthapuram,695033,Panniyur 1,28.5,233.3,78.9,High,Recommended
10,Thiruvananthapuram,695033,Panniyur 1,24.5,222.5,86.5,High,Plant with Care
10,Thiruvananthapuram,695033,Panniyur 1,28.3,154.8,74.3,Medium,Recommended
10,Thiruvananthapuram,695033,Panniyur 1,26.9,135.2,73.7,Medium,Plant with Care
10,Thiruvananthapuram,695033,Panniyur 1,27.3,180.7,84.5,Low,Plant with Care
11,Thiruvananthapuram,695001,Panniyur 1,31.0,85.7,85.6,High,Not Recommended
11,Thiruvananthapuram,695001,Panniyur 1,27.7,136.7,89.9,High,Plant with Care
11,Thiruvananthapuram,695001,Panniyur 1,26.5,213.2,78.8,Medium,Recommended
11,Thiruvananthapuram,695001,Panniyur 1,22.7,113.6,86.3,Low,Plant with Care
11,Thiruvananthapuram,695001,Panniyur 1,26.2,177.5,65.7,High,Recommended
11,Thiruvananthapuram,695014,Panniyur 1,28.8,419.4,83.5,High,Plant with Care
11,Thiruvananthapuram,695014,Panniyur 1,24.8,293.8,86.0,High,Plant with Care
11,Thiruvananthapuram,695014,Panniyur 1,24.1,278.8,88.8,Medium,Plant with Care
11,Thiruvananthapuram,695014,Panniyur 1,26.8,152.8,79.2,Low,Plant with Care
11,Thiruvananthapuram,695014,Panniyur 1,26.5,0.0,85.2,Medium,Plant with Care
11,Thiruvananthapuram,695024,Panniyur 1,28.5,136.5,89.7,High,Plant with Care
11,Thiruvananthapuram,695024,Panniyur 1,26.2,204.7,74.0,High,Recommended
11,Thiruvananthapuram,695024,Panniyur 1,26.8,271.0,83.8,High,Recommended
11,Thiruvananthapuram,695024,Panniyur 1,28.9,315.4,71.5,High,Plant with Care
11,Thiruvananthapuram,695024,Panniyur 1,29.0,176.7,77.6,Medium,Recommended
11,Thiruvananthapuram,695033,Panniyur 1,28.6,197.2,72.4,Medium,Recommended
11,Thiruvananthapuram,695033,Panniyur 1,29.6,176.0,78.1,High,Recommended
11,Thiruvananthapuram,695033,Panniyur 1,28.8,2.7,81.5,Low,Not Recommended
11,Thiruvananthapuram,695033,Panniyur 1,26.5,256.5,88.7,High,Plant with Care
11,Thiruvananthapuram,695033,Panniyur 1,26.4,334.1,78.3,Medium,Plant with Care
12,Thiruvananthapuram,695001,Panniyur 1,24.9,83.4,70.5,Low,Not Recommended
12,Thiruvananthapuram,695001,Panniyur 1,21.6,46.2,83.7,Medium,Plant with Care
12,Thiruvananthapuram,695001,Panniyur 1,26.7,0.0,62.1,High,Plant with Care
12,Thiruvananthapuram,695001,Panniyur 1,22.9,86.4,73.8,Medium,Plant with Care
12,Thiruvananthapuram,695001,Panniyur 1,26.2,17.5,41.3,High,Not Recommended
12,Thiruvananthapuram,695014,Panniyur 1,25.1,59.7,67.3,Low,Not Recommended
12,Thiruvananthapuram,695014,Panniyur 1,23.5,55.6,57.7,Medium,Plant with Care
12,Thiruvananthapuram,695014,Panniyur 1,24.9,39.0,77.1,Medium,Plant with Care
12,Thiruvananthapuram,695014,Panniyur 1,24.7,0.0,68.8,Medium,Plant with Care
12,Thiruvananthapuram,695014,Panniyur 1,26.4,54.4,63.7,Low,Not Recommended
12,Thiruvananthapuram,695024,Panniyur 1,25.9,10.5,59.4,High,Plant with Care
12,Thiruvananthapuram,695024,Panniyur 1,23.4,12.8,67.4,Low,Not Recommended
12,Thiruvananthapuram,695024,Panniyur 1,21.0,22.5,62.7,High,Plant with Care
12,Thiruvananthapuram,695024,Panniyur 1,25.0,37.7,70.2,Low,Not Recommended
12,Thiruvananthapuram,695024,Panniyur 1,26.2,88.9,71.2,High,Plant with Care
12,Thiruvananthapuram,695033,Panniyur 1,24.6,18.4,65.0,Medium,Plant with Care
12,Thiruvananthapuram,695033,Panniyur 1,26.5,87.8,69.5,Low,Not Recommended
12,Thiruvananthapuram,695033,Panniyur 1,23.4,82.7,60.0,High,Plant with Care
12,Thiruvananthapuram,695033,Panniyur 1,23.0,62.2,74.2,High,Plant with Care
12,Thiruvananthapuram,695033,Panniyur 1,26.9,33.2,61.2,Medium,Plant with Care
1,Thiruvananthapuram,695001,Panniyur 5,23.2,28.5,59.4,Medium,Plant with Care
1,Thiruvananthapuram,695001,Panniyur 5,23.8,40.4,60.8,Low,Not Recommended
1,Thiruvananthapuram,695001,Panniyur 5,27.9,27.1,70.6,Low,Not Recommended
1,Thiruvananthapuram,695001,Panniyur 5,25.4,97.6,71.7,Medium,Plant with Care
1,Thiruvananthapuram,695001,Panniyur 5,19.3,74.6,61.0,High,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 5,22.2,84.6,75.1,Medium,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 5,28.3,105.3,86.1,Low,Not Recommended
1,Thiruvananthapuram,695014,Panniyur 5,26.7,76.0,79.4,Low,Not Recommended
1,Thiruvananthapuram,695014,Panniyur 5,23.9,38.2,68.4,Medium,Plant with Care
1,Thiruvananthapuram,695014,Panniyur 5,24.0,68.7,78.2,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 5,25.6,70.6,84.5,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 5,20.9,66.1,58.5,High,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 5,25.1,23.9,79.9,Medium,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 5,27.2,70.0,88.7,High,Plant with Care
1,Thiruvananthapuram,695024,Panniyur 5,22.9,48.0,81.1,Medium,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 5,25.1,78.8,75.1,Medium,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 5,25.0,24.0,67.8,Low,Not Recommended
1,Thiruvananthapuram,695033,Panniyur 5,27.0,0.0,64.3,High,Plant with Care
1,Thiruvananthapuram,695033,Panniyur 5,26.6,49.3,65.1,Low,Not Recommended
1,Thiruvananthapuram,695033,Panniyur 5,25.0,38.0,50.7,Medium,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 5,27.9,91.8,57.2,Low,Not Recommended
2,Thiruvananthapuram,695001,Panniyur 5,23.2,59.5,75.4,Low,Not Recommended
2,Thiruvananthapuram,695001,Panniyur 5,25.6,15.5,70.6,Medium,Plant with Care
2,Thiruvananthapuram,695001,Panniyur 5,27.7,52.5,72.3,Low,Not Recommended
2,Thiruvananthapuram,695001,Panniyur 5,23.3,47.8,62.6,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 5,25.2,69.9,58.6,High,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 5,22.8,67.1,71.7,High,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 5,27.2,14.2,73.7,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 5,27.6,59.6,64.4,Medium,Plant with Care
2,Thiruvananthapuram,695014,Panniyur 5,24.6,44.7,73.0,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 5,27.9,64.5,66.3,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 5,24.8,52.9,72.5,Low,Not Recommended
2,Thiruvananthapuram,695024,Panniyur 5,28.6,22.8,58.1,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 5,25.0,76.9,74.0,Medium,Plant with Care
2,Thiruvananthapuram,695024,Panniyur 5,22.6,79.9,72.9,Medium,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 5,26.4,29.9,46.8,Low,Not Recommended
2,Thiruvananthapuram,695033,Panniyur 5,24.4,101.3,69.9,Low,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 5,22.7,14.5,49.7,Low,Not Recommended
2,Thiruvananthapuram,695033,Panniyur 5,29.7,72.4,73.9,High,Plant with Care
2,Thiruvananthapuram,695033,Panniyur 5,28.0,21.5,65.9,High,Plant with Care
3,Thiruvananthapuram,695001,Panniyur 5,30.0,154.8,72.1,Medium,Recommended
3,Thiruvananthapuram,695001,Panniyur 5,29.8,175.8,78.3,Medium,Recommended
3,Thiruvananthapuram,695001,Panniyur 5,28.4,135.6,76.5,Medium,Recommended
3,Thiruvananthapuram,695001,Panniyur 5,31.1,157.7,75.2,Medium,Plant with Care
3,Thiruvananthapuram,695001,Panniyur 5,33.5,29.0,92.2,Low,Not Recommended
3,Thiruvananthapuram,695014,Panniyur 5,33.0,252.6,75.6,Medium,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 5,34.0,47.0,78.5,Medium,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 5,29.3,154.2,70.5,Medium,Recommended
3,Thiruvananthapuram,695014,Panniyur 5,33.1,77.4,81.2,Medium,Plant with Care
3,Thiruvananthapuram,695014,Panniyur 5,32.9,149.5,77.4,Medium,Plant with Care
3,Thiruvananthapuram,695024,Panniyur 5,36.8,136.9,77.9,High,Not Recommended
3,Thiruvananthapuram,695024,Panniyur 5,33.2,103.1,70.8,Low,Not Recommended
3,Thiruvananthapuram,695024,Panniyur 5,29.9,127.8,70.8,Medium,Recommended
3,Thiruvananthapuram,695024,Panniyur 5,34.8,117.0,87.4,High,Plant with Care
3,Thiruvananthapuram,695024,Panniyur 5,32.3,138.4,74.7,High,Plant with Care
3,Thiruvananthapuram,695033,Panniyur 5,33.3,159.2,59.4,Medium,Plant with Care
3,Thiruvananthapuram,695033,Panniyur 5,29.0,112.5,81.4,High,Recommended
3,Thiruvananthapuram,695033,Panniyur 5,28.9,113.6,78.5,High,Recommended
3,Thiruvananthapuram,695033,Panniyur 5,32.5,136.1,73.7,Low,Not Recommended
3,Thiruvananthapuram,695033,Panniyur 5,32.4,51.0,72.8,Low,Not Recommended
4,Thiruvananthapuram,695001,Panniyur 5,27.7,67.4,73.0,Low,Not Recommended
4,Thiruvananthapuram,695001,Panniyur 5,32.7,193.1,53.2,Medium,Plant with Care
4,Thiruvananthapuram,695001,Panniyur 5,33.2,127.3,87.0,High,Plant with Care
4,Thiruvananthapuram,695001,Panniyur 5,27.0,100.6,83.1,Medium,Recommended
4,Thiruvananthapuram,695001,Panniyur 5,35.6,176.0,63.4,High,Plant with Care
4,Thiruvananthapuram,695014,Panniyur 5,33.9,113.5,59.9,Medium,Plant with Care
